ID,Module,Feature/Screen,Description/Asumptions,"Fields/Components, Component Type, Required?",User Flow
2,Mobile application,,,,
2.1,Authentication and registration,,,,
2.1.1,Master Authentication,Welcome screen,"- No authentication required — this is the entry point for unauthenticated users.
- Shown on app launch when no active session exists.
- Lets a new user choose their account type before registering: Employer or Candidate.
- Only two roles apply at registration: Employer and Candidate.
- Each role starts a distinct, role-specific registration flow.
- Account type selection cannot be bypassed — the user must pick a role to proceed.
- Existing users can jump to Log-in (2.1.2) from here.
- All connections must use HTTPS/SSL with TLS 1.2 or later.","Screen name: Welcome
- Create account as an Employer — Button — Primary — Navigates to Employer's registration (2.1.7)
- Create account as a Candidate — Button — Primary — Navigates to Candidate's registration (2.1.8)
- Already have an account? Log in — Hyperlink — Navigates to Log-in (2.1.2)","Screen: Welcome

Preconditions:
- No authentication required — this is the entry point for unauthenticated users.
- No active session exists. If a valid session exists ? system skips Welcome ? system navigates the user to Home Screen (2.3.1).
- No role restriction — any unauthenticated visitor can reach this screen.

User opens the app with no active session.
1. System displays the Welcome screen with both role options and the log-in link.
2. User taps [Create account as an Employer] ? system navigates to Employer's registration (2.1.7).
3. User taps [Create account as a Candidate] ? system navigates to Candidate's registration (2.1.8).
4. User taps [Already have an account? Log in] ? system navigates to Log-in (2.1.2).
5. The user must select one of the three actions; the system does NOT auto-select a role and does NOT allow bypassing role selection."
2.1.2,,Log-in,"- No authentication required — entry point for users who already have an account.
- Reached from the Welcome screen [Log in] link or from any registration screen.
- Lets an existing user sign in with email address and password.
- Email + password is the only login method in MVP — no social or biometric login.
- The role is not selected at login. The login screen is identical for both roles (one email field, one password field, one submit button). After successful authentication the system resolves the account's stored role (Employer or Candidate) — returned in the session token / login response — and loads the matching experience. Each email maps to exactly one account with one fixed role (single-role rule enforced at registration, 2.1.7 / 2.1.8)
- Both roles share the same Home screen layout (2.3.1); the difference is role-adapted content, not a different screen: Employer Swipe shows Candidate listings (swipe right triggers a subscription check + contact reveal); Candidate Swipe shows Employer listings (swipe right is free and sends a notification only); [Manage subscription] in Settings is visible to Employers only; the listing form adapts by role (Employer: criteria form; Candidate: preferences + contact details + consent)
- Phone verification is a hard, server-side gate for Candidates: if an authenticated Candidate has phone_verified = false, every protected endpoint returns 403 with a redirect to the Phone Verification screen (2.1.8) until verification completes
- Failed login returns a generic message that does not reveal whether the email or the password was wrong.
- Progressive lockout applies : after 5 consecutive failed attempts the account is locked for 15 minutes; after 10 consecutive failed attempts (across lockout cycles) it is locked for 1 hour and a suspicious-activity email is sent to the account owner.
- A successful login OR a successful password reset resets the failed-attempt counter to zero.
- All connections must use HTTPS/SSL with TLS 1.2 or later; session tokens use TLS 1.2+.","Screen name: Log-in
- Email address — Text field — Required — Max 100 characters — Must follow email format — Accepts letters (A-Z, a-z), numbers (0-9), special characters — Red border displayed on empty/invalid field when validation is triggered
- Password — Text field (masked) — Required — Min 8 char — Max 64 char — Show/hide toggle — Accepts letters (A-Z, a-z), numbers (0-9), special characters — Red border on empty/invalid field when validation is triggered
- Log in — Button — Primary — Disabled until both fields contain input
- Forgot password? — Hyperlink — Navigates to Password reset (2.1.4)
- Don't have an account? Register — Hyperlink — Navigates to Welcome screen (2.1.1)","Screen: Log-in

Preconditions:
- No authentication required — this is an entry point for unauthenticated users.
- User must already have an account (Employer or Candidate).
- If a valid session already exists ? system skips Log-in ? system navigates to Home Screen (2.3.1).

User arrives from Welcome screen or a registration screen.
1. System displays the Log-in screen.
2. User enters Email address and Password.
3. User taps [Log in] ? system validates input:
   3.1. Validate required fields:
    + If Email is empty ? system does NOT attempt authentication ? system displays error: ""Email is required.""
    + If Password is empty ? system does NOT attempt authentication ? system displays error: ""Password is required.""
   3.2. Validate email format (system checks input against standard email format — contains @ and a valid domain):
    + If format is invalid ? system does NOT query the backend ? system displays error: ""Please enter a valid email address.""
   3.3. Validate credentials (backend compares email + password against stored User records):
    + If credentials are valid ? backend returns success ? system resets the failed-attempt counter to zero ? system creates an authentication session ? system stores the token securely ? the backend returns the account's role (Employer or Candidate) in the session token / login response ? system loads the role-appropriate experience and navigates the user to Home Screen (2.3.1).
       - The role is NOT chosen at login and the system does NOT show a role picker — the login screen is identical for both roles; each email maps to exactly one account with one fixed role (single-role rule enforced at registration, 2.1.7 / 2.1.8).
       - Both roles land on the same Home screen layout (2.3.1); content is role-adapted, not a separate screen.
       - If the account is an Employer ? system enables Employer-adapted content: Employer Swipe (Candidate listings; swipe right triggers subscription check + contact reveal), Listing management (criteria form), and [Manage subscription] visible in Settings.
       - If the account is a Candidate and phone_verified = true ? system enables Candidate-adapted content: Candidate Swipe (Employer listings; swipe right is free + notification only) and Candidate listing/preferences set-up.
       - If the account is a Candidate and phone_verified = false ? system does NOT grant access to Home/Swipe/Chat/Settings ? system immediately redirects to the Phone Verification screen (2.1.8). The gate is enforced server-side: every authenticated API call checks phone_verified and returns 403 with a redirect instruction while it is false, until verification completes.
    + If email is not found OR password does not match ? backend returns failure ? system does NOT create a session ? system does NOT navigate ? system increments the failed-attempt counter ? system displays generic error: ""Invalid email or password.""
    + If the backend is unreachable ? system does NOT authenticate ? credentials remain unchecked ? system does NOT increment the counter ? system displays error: ""Network error. Please check your connection and try again.""
   3.4. Validate lockout state (backend checks the consecutive-failed-attempt counter for this account):
    + If the account has reached 5 consecutive failed attempts ? system does NOT attempt authentication ? account is locked for 15 minutes ? system displays error: ""Too many failed attempts. Please try again in 15 minutes, or reset your password.""
    + If the account has reached 10 consecutive failed attempts (across lockout cycles) ? system does NOT attempt authentication ? account is locked for 1 hour ? backend sends a suspicious-activity warning email to the account owner ? system displays error: ""Too many failed attempts. Please try again in 60 minutes, or reset your password.""
    + A successful login or a completed password reset (2.1.4) resets the counter to zero.
4. User taps [Forgot password?] ? system navigates to Password reset (2.1.4).
5. User taps [Don't have an account? Register] ? system navigates to Welcome screen (2.1.1)."
2.1.3,,Logout,"- Available to any authenticated user (Employer or Candidate).
- Triggered from the Settings screen [Log out] action.
- Ends the current session, clears all local tokens, and invalidates the server-side token.
- A token revocation endpoint is available; logout calls it to invalidate the server-side token.
- No global multi-device session management in MVP — logout affects the current device session.
- Tokens are invalidated within 1 second of logout; any API call made after logout returns an unauthorized error.
- This is a destructive/irreversible action, so a confirmation prompt is required before logging out.","Screen name: Settings (logout entry point) + confirmation popup
- Log out — Button — Danger — Accessible from the Settings screen

Popup: Log out confirmation
- Confirmation message — Text — ""Are you sure you want to log out?""
- Confirm — Button — Danger
- Cancel — Button — Secondary","Screen: Settings — Logout

Preconditions:
- User must be authenticated (Employer or Candidate).
- User must be on the Settings screen.
- Token revocation endpoint must be configured and reachable.

User is on the Settings screen.
1. User taps [Log out] ? system opens the Log out confirmation popup.
2. System displays message: ""Are you sure you want to log out?"" with [Confirm] and [Cancel].
3. User taps [Cancel] ? system closes the popup ? system does NOT clear tokens ? user remains logged in on the Settings screen.
4. User taps [Confirm] ? system requests token invalidation from the backend revocation endpoint:
   4.1. If the backend confirms revocation ? backend invalidates the server-side token and revokes the refresh token ? system clears all local tokens and session data ? system navigates the user to the Welcome screen (2.1.1).
   4.2. If the backend is unreachable ? system still clears all local tokens and session data ? system navigates to the Welcome screen (2.1.1) ? the server-side token is queued for invalidation on next reachability (best-effort), so the user is signed out locally regardless.
5. After logout, any subsequent API call made with the old token ? backend returns an unauthorized error ? system does NOT serve protected content."
2.1.4,,Password reset,"- No authentication required — for users who have forgotten their password.
- Triggered from the Login screen [Forgot password?] link.
- Two screens: (1) request a reset link by email, (2) set a new password via the emailed link.
- Email service is available for sending reset links.
- The reset link expires 30 minutes after generation and is single-use — once clicked it cannot be reused even within the 30-minute window.
- After expiry or use the user must request a new reset link.
- For security, the request screen never reveals whether an email is registered — it always shows the same neutral confirmation, and response time is kept consistent to avoid timing-based account enumeration.
- After a successful reset the old password is invalid.
- New password must meet the same policy as registration: minimum 8 characters, including letters, numbers, at least one uppercase letter, and one special character.D3","Screen 1 - Password reset request
- Email address — Text field — Required — Max 100 characters — Must follow email format — Red border on empty/invalid field when validation is triggered
- Send reset link — Button — Primary — Disabled until a value is entered
- Can't find your account? Contact support — Hyperlink — Opens the device's native email client pre-filled to the support address (same channel as Contact us, 2.6.9) —      
Pre-filled Subject: ""Account recovery — can't find my account"" — Pre-filled Body template: ""I'm having trouble finding my account. My email address is: [user fills in]. My issue is: [user fills in]."" — Label includes ""Contact support"" so the user knows it opens an email, not a help page

Screen 2 - Set new password (opened via email link)
- New password — Text field (masked) — Required — Min 8 char — Max 64 char — Must include letters, numbers, at least one uppercase letter, and one special character — Show/hide toggle
- Confirm new password — Text field (masked) — Required — Must match New password
- Reset password — Button — Primary — Disabled until both fields filled","Screen: Password reset request

Preconditions:
- No authentication required — entry point for unauthenticated users.
- Email service must be configured and reachable.

User taps [Forgot password?] on the Login screen.
1. System displays the Password reset request screen.
2. User enters Email address ? user taps [Send reset link] ? system validates:
   2.1. If Email is empty ? system does NOT send ? system displays error: ""Email is required.""
   2.2. If email format is invalid ? system does NOT send ? system displays error: ""Please enter a valid email address.""
   2.3. If format is valid ? system requests the email service to send a reset link to that address:
    + System always displays the same neutral confirmation regardless of whether the email is registered, and keeps response time consistent to prevent timing-based enumeration: ""If an account with this email exists, a password reset link has been sent.""
    + If the email is registered ? backend generates a single-use reset token that expires 30 minutes after generation ? email service sends the reset link.
    + If the email service is unreachable ? system does NOT confirm send ? system displays error: ""Unable to send reset link right now. Please try again.""
   2.4. User taps [Can't find your account? Contact support] ? system opens the device's native email client pre-filled to the support address (same email-based channel as Contact us, 2.6.9), with Subject ""Account recovery — can't find my account"" and a body template prompting the user for their email and issue. The pre-filled subject lets support filter account-recovery requests into a priority queue, separate from general 2.6.9 enquiries. No authentication is required — this is a logged-out screen, so the email client opens directly.

Screen: Set new password (opened via emailed link)
3. User opens the reset link ? system validates the reset token:
   3.1. If the token is valid, unused, and within 30 minutes of generation ? system displays the Set new password screen.
   3.2. If the token has expired (older than 30 minutes) or was already used ? system does NOT display the form ? system displays error: ""This link has expired. Please request a new password reset.""
4. User enters New password and Confirm new password ? user taps [Reset password] ? system validates:
   4.1. If New password does not meet policy (min 8 chars, letters, numbers, 1 uppercase, 1 special) ? system does NOT update ? system displays error: ""Password must be at least 8 characters and include a letter, a number, an uppercase letter, and a special character.""
   4.2. If Confirm new password does not match ? system does NOT update ? system displays error: ""Passwords do not match.""
   4.3. If valid ? backend updates the password, invalidates the old password, and marks the reset token used ? system displays success message: ""Your password has been reset successfully."" ? system navigates the user to Log-in (2.1.2)."
2.1.5,,Change password,"- Available to any logged-in user; reached via Settings > Manage Profile > Change password.
- Lets a logged-in user change their current password from within the app.
- Old (current) password must be validated before the new one is accepted.
- New password enforces the same policy as signup (min 8 characters, letters, numbers, 1 uppercase, 1 special character).
- After a successful change the user is logged out from all devices (all tokens invalidated).
- Old password is always available for validation; password update API with token invalidation is used.","Screen name: Change password (Settings > Manage Profile)
- Current password — Text field (masked) — Required — Show/hide toggle
- New password — Text field (masked) — Required — Min 8 char — Max 64 char — Must include letters, numbers, at least one uppercase letter, and one special character — Show/hide toggle
- Confirm new password — Text field (masked) — Required — Must match New password
- Save — Button — Primary — Disabled until all fields are filled
- Cancel — Button — Secondary","Screen: Change password

Preconditions:
- User must be authenticated.
- User must be on Settings > Manage Profile > Change password.

User navigates to Settings > Manage Profile > Change password.
1. System displays the Change password screen; [Save] is disabled until all three fields are filled.
2. User enters Current password, New password, Confirm new password ? user taps [Save] ? system validates:
   2.1. Validate current password (backend checks the entered current password against the stored credential):
    + If the current password is incorrect ? backend returns failure ? system does NOT update ? system displays error: ""Your current password is incorrect.""
   2.2. Validate new password policy:
    + If New password does not meet policy ? system does NOT update ? system displays error: ""Password must be at least 8 characters and include a letter, a number, an uppercase letter, and a special character.""
    + If New password is identical to the current password ? system does NOT update ? system displays error: ""New password must be different from your current password.""
   2.3. Validate confirmation:
    + If Confirm new password does not match New password ? system does NOT update ? system displays error: ""Passwords do not match.""
   2.4. If all checks pass ? backend updates the password and invalidates all existing tokens across all devices ? system displays success message: ""Password changed successfully. Please log in again."" ? system clears the local session ? system navigates the user to Log-in (2.1.2).
3. User taps [Cancel] ? system discards input ? system does NOT change the password ? system returns to Manage Profile."
2.1.6,Account Registration & Log in,Employer's registration,"- No authentication required — reached from the Welcome screen [Create account as an Employer].
- Lets a company create an Employer account with company details and credentials.
- Email must be unique across all account types.
- A user already registered as a Candidate cannot register as an Employer (and vice versa).
- Both the age-confirmation and accuracy-confirmation checkboxes are mandatory; account creation is blocked until both are ticked.
- An auto-renewal disclosure (passive text) informs the user that the Employer subscription auto-renews and can be managed/cancelled in App Store / Google Play; proceeding constitutes acknowledgement per store transparency guidelines.
- No further identity verification is required beyond the mandatory fields.
- Anti-bot CAPTCHA (2.1.8) must be satisfied before submission; password policy = min 8 chars, letters, numbers, 1 uppercase, 1 special.
- Auto-renewal disclosure text content is supplied by the Client/legal advisor.","Screen name: Employer's registration
- Company name — Text field — Required — Max 100 characters — Accepts letters (A-Z, a-z), numbers (0-9), spaces, special characters — Red border on empty field when validation is triggered
- Email address — Text field — Required — Max 100 characters — Must follow email format — Red border on empty/invalid field when validation is triggered
- Password — Text field (masked) — Required — Min 8 char — Max 64 char — Must include letters, numbers, 1 uppercase, 1 special character — Show/hide toggle
- I confirm that I am 18 years old or above — Checkbox — Required
- I confirm that the information I have provided is accurate and complete — Checkbox — Required
- Auto-renewal disclosure — Text (display) — Passive informational statement on subscription auto-renewal and management via App Store / Google Play
- Create account — Button — Primary — Disabled until all mandatory fields are filled AND both checkboxes are ticked
- Already have an account? Log in — Hyperlink — Navigates to Log-in (2.1.2)","Screen: Employer's registration

Preconditions:
- No authentication required — entry point for unauthenticated users.
- User arrived from Welcome screen [Create account as an Employer] (2.1.1).
- CAPTCHA / WAF anti-bot protection (2.1.8) must be available.

User taps [Create account as an Employer] on the Welcome screen.
1. System displays the Employer's registration form; [Create account] is disabled until all mandatory fields are filled and both checkboxes are ticked.
2. User enters Company name, Email address, Password, ticks both confirmation checkboxes, and reads the auto-renewal disclosure.
3. User taps [Create account] ? system runs anti-bot verification first (see 2.1.8):
   3.1. If CAPTCHA/WAF check fails ? system does NOT submit the registration ? system prompts the user to retry.
   3.2. If anti-bot check passes ? system proceeds to validation.
4. System validates the form:
   4.1. Required fields — if Company name, Email, or Password is empty, or either checkbox is unticked ? system does NOT create the account ? system displays the relevant error (e.g. ""Company name is required."", ""You must confirm you are 18 or above."").
   4.2. Email format — if invalid ? system does NOT query the backend ? system displays error: ""Please enter a valid email address.""
   4.3. Password policy — if New password fails policy ? system does NOT create the account ? system displays error: ""Password must be at least 8 characters and include a letter, a number, an uppercase letter, and a special character.""
   4.4. Email uniqueness (backend checks the email against all existing account records of every type):
    + If the email already exists as an Employer ? system does NOT create ? system displays error: ""An account with this email already exists.""
    + If the email already exists as a Candidate ? system does NOT create ? system displays error: ""This email is already registered as a Candidate account.""
    + If the backend is unreachable ? system does NOT create ? system displays error: ""Unable to verify email right now. Please try again.""
   4.5. If all checks pass ? backend creates the Employer account ? system displays success message: ""Your Employer account has been created."" ? system logs the user in and navigates to Home Screen (2.3.1).
5. User taps [Already have an account? Log in] ? system navigates to Log-in (2.1.2)."
2.1.7,,Candidate's registration,"- No authentication required — reached from the Welcome screen [Create account as a Candidate].
- Two screens: (1) registration form, (2) phone verification via SMS OTP.
- Registration form collects: First name, Last name, Email address, Phone number, Password, plus 2 mandatory confirmation checkboxes and the submit button.
- Email must be unique across all account types; a Candidate cannot also register as an Employer (and vice versa).
- Both the age-confirmation and accuracy-confirmation checkboxes are mandatory; account creation is blocked until both are ticked.
- After account creation the candidate must verify their phone number with an OTP sent via SMS.
- OTP is sent automatically after registration (user need not request it manually on first entry); OTP is a 6-digit, number-only code; OTP expires after 10 minutes.
- Maximum 3 resend attempts per session — the account is not locked, but further resends are blocked until the counter resets. The resend counter resets when: the user fully closes and reopens the app (process terminated, not just backgrounded), OR 24 hours have elapsed since the first resend, OR the user abandons and starts a new registration from the Welcome screen. The counter does NOT reset on navigating Back and returning to the OTP screen, on backgrounding the app, or on OTP expiry.
- Verification is required before the candidate can access any other app feature.
- Anti-bot CAPTCHA (2.1.8) must be satisfied before submission; password policy = min 8 chars, letters, numbers, 1 uppercase, 1 special.","Screen 1 - Candidate registration
- First name — Text field — Required — Max 50 characters — Accepts letters (A-Z, a-z), spaces, hyphen, apostrophe
- Last name — Text field — Required — Max 50 characters — Accepts letters (A-Z, a-z), spaces, hyphen, apostrophe
- Email address — Text field — Required — Max 100 characters — Must follow email format
- Phone number — Text field — Required — Numeric with country code — Used for SMS OTP
- Password — Text field (masked) — Required — Min 8 char — Max 64 char — Must include letters, numbers, 1 uppercase, 1 special character — 

Show/hide toggle
- I confirm that I am 18 years old or above — Checkbox — Required
- I confirm that the information I have provided is accurate and complete — Checkbox — Required
- Create account — Button — Primary — Disabled until all fields are filled AND both checkboxes are ticked
- Already have an account? Log in — Hyperlink — Navigates to Log-in (2.1.2)

Screen 2 - Phone verification
- Registered phone number — Text (display, read-only) — Shows the candidate's registered phone number
- OTP code — Text field — Required — Exactly 6 digits — Numeric only
- Verify — Button — Primary — Disabled until 6 digits entered
- Resend code — Button — Secondary — Disabled for 60 seconds after each send; blocked after 3 sends per session
- Back — Button — Secondary — Returns to the registration form","Screen: Candidate registration

Preconditions:
- No authentication required — entry point for unauthenticated users.
- User arrived from Welcome screen [Create account as a Candidate] (2.1.1).
- SMS/OTP service and CAPTCHA/WAF anti-bot protection (2.1.8) must be available.

User taps [Create account as a Candidate] on the Welcome screen.
1. System displays the registration form; [Create account] disabled until all fields filled and both checkboxes ticked.
2. User enters First name, Last name, Email, Phone number, Password and ticks both checkboxes.
3. User taps [Create account] ? system runs anti-bot verification first (see 2.1.8):
   3.1. If CAPTCHA/WAF fails ? system does NOT submit ? system prompts the user to retry.
   3.2. If it passes ? system proceeds to validation.
4. System validates the form:
   4.1. Required fields — if any field is empty or either checkbox is unticked ? system does NOT create the account ? system displays the relevant error.
   4.2. Email format — if invalid ? system does NOT proceed ? system displays error: ""Please enter a valid email address.""
   4.3. Password policy — if it fails policy ? system does NOT create ? system displays error: ""Password must be at least 8 characters and include a letter, a number, an uppercase letter, and a special character.""
   4.4. Email uniqueness (backend checks email against all account types):
    + If email already exists as a Candidate ? system does NOT create ? system displays error: ""An account with this email already exists.""
    + If email already exists as an Employer ? system does NOT create ? system displays error: ""This email is already registered as an Employer account.""
    + If backend unreachable ? system does NOT create ? system displays error: ""Unable to verify email right now. Please try again.""
   4.5. If all checks pass ? backend creates the Candidate account ? system automatically sends a 6-digit OTP via the SMS service to the registered phone number ? system navigates to the Phone verification screen.

Screen: Phone verification
5. System displays the masked/registered phone number and the OTP input; the OTP was sent automatically — the user need not request it on first entry.
6. User enters the 6-digit OTP ? user taps [Verify] ? system sends the entered code to the backend verification endpoint:
   6.1. If the code matches and the OTP has not expired (? 10 minutes old) ? backend returns success ? system marks the phone number as verified ? system displays success message: ""Your account has been verified."" ? system logs the user in and navigates to Home Screen (2.3.1).
   6.2. If the code does not match ? backend returns failure ? system does NOT verify ? system displays error: ""Incorrect code. Please try again.""
   6.3. If the OTP has expired (older than 10 minutes) ? backend returns expiry ? system does NOT verify ? system displays error: ""This code has expired. Please request a new one.""
   6.4. If the SMS/verification service is unreachable ? system does NOT verify ? system displays error: ""Unable to verify right now. Please check your connection and try again.""
7. User taps [Resend code]:
   7.1. If fewer than 3 sends have been used in the current session ? system requests a new OTP from the SMS service ? [Resend code] is disabled for 60 seconds.
   7.2. If 3 sends have already been used in the current session ? system does NOT send another code ? system displays message: ""You have reached the maximum number of resend attempts. Please try again later."" (account is NOT locked).
   7.3. The resend counter resets when the user fully closes and reopens the app, OR 24 hours have elapsed since the first resend, OR the user starts a new registration from the Welcome screen. It does NOT reset on tapping [Back] and returning, on backgrounding the app, or on OTP expiry.
8. User taps [Back] ? system returns to the registration form.
9. Until phone verification is completed, system does NOT grant access to any other app feature — any attempt to navigate elsewhere returns the user to the Phone verification screen."
2.1.8,Human verification,Human verification,"- This is not a standalone screen — anti-bot verification operates within the registration flows (Employer 2.1.7 and Candidate 2.1.8).
- Purpose: confirm the registrant is a human, not a bot, to prevent spam accounts and abuse.
- Two independent layers: (1) client-side invisible CAPTCHA on the registration form, (2) infrastructure-level bot filtering via AWS WAF at the API gateway.
- CAPTCHA verification runs server-side before account creation is processed.
- If CAPTCHA fails, the registration request is not submitted and the user is prompted to retry.
- CAPTCHA applies to the registration flow only — not to login.
- A request must pass BOTH CAPTCHA and WAF validation for account creation to occur.
- A third-party invisible CAPTCHA service is used: Google reCAPTCHA v3 (invisible, score-based) as primary; if the v3 score is below 0.5, fall back to an interactive reCAPTCHA v2 challenge (""I'm not a robot"" / image selection). hCaptcha is documented as a swap-in alternative in the technical architecture so the integration can change without redesign. Must be compatible with both iOS and Android native app environments.","This feature is embedded within the Employer's registration (2.1.7) and Candidate's registration (2.1.8) screens.
- CAPTCHA challenge widget — Component — Google reCAPTCHA v3 (invisible, score-based, no user friction) — Integrated into both registration screens — Must run before the registration request is submitted — Falls back to an interactive reCAPTCHA v2 challenge when the v3 score is below 0.5
- AWS WAF rules — Infrastructure component (no UI) — Applied at the API gateway to block known bot traffic patterns and malicious request signatures","System Process / Embedded verification — operates within the registration flow (2.1.7 / 2.1.8).

Preconditions:
- Triggered when the user submits a registration form (Employer or Candidate).
- A third-party CAPTCHA service must be configured; AWS WAF must be active at the API gateway.
- Does not apply to Log-in (2.1.2).

1. User taps [Create account] on a registration screen ? system silently runs the invisible CAPTCHA challenge (no visible prompt).
2. System submits the registration request only after obtaining a CAPTCHA token; the request passes through the API gateway where AWS WAF inspects it:
   2.1. WAF layer — gateway evaluates the request against bot/malicious-signature rules:
    + If the request matches a blocked pattern ? gateway rejects it ? system does NOT create the account ? registration request is not processed.
   2.2. CAPTCHA layer — backend verifies the reCAPTCHA v3 token server-side and reads the returned score:
    + If the v3 score is at or above 0.5 ? CAPTCHA passes ? proceed.
    + If the v3 score is below 0.5 ? system presents an interactive reCAPTCHA v2 challenge to the user:
       - If the user completes the v2 challenge successfully ? CAPTCHA passes ? proceed.
       - If the user fails or dismisses the v2 challenge ? system does NOT submit/complete registration ? system prompts the user to retry: ""We couldn't verify that you're human. Please try again.""
   2.3. If BOTH the WAF check and the server-side CAPTCHA verification pass ? system proceeds with account creation in the parent registration flow (2.1.7 / 2.1.8).
3. System does NOT apply CAPTCHA to login; ongoing verification for Candidates relies on phone OTP and for Employers on email uniqueness."
